Identifier,Age,Schooling,Choice,Wage,Choice_t_1,Experience_Blue,Experience_Military,Experience_White
26.0,21.0,14.0,Military,15035.24,White,,1.0,1.0
26.0,22.0,14.0,Military,12079.75,Military,,2.0,1.0
26.0,23.0,14.0,Home,,Military,,2.0,1.0
26.0,24.0,14.0,Schooling,,Home,,2.0,1.0
26.0,25.0,15.0,Home,,Schooling,,2.0,1.0
,,,,,,,2.0,1.0
36.0,16.0,9.0,Home,,,,,
36.0,17.0,9.0,Schooling,,Home,,,
36.0,18.0,10.0,Home,,Schooling,,,
36.0,19.0,10.0,Blue,11313.75,Home,1.0,,
36.0,20.0,10.0,Blue,16451.9,Blue,2.0,,
36.0,21.0,10.0,Blue,,Blue,3.0,,
36.0,22.0,10.0,Blue,,Blue,4.0,,
36.0,23.0,10.0,Blue,,Blue,5.0,,
36.0,24.0,10.0,Blue,32846.57,Blue,6.0,,
36.0,25.0,10.0,Blue,35591.49,Blue,7.0,,
,,,,,,7.0,,
41.0,16.0,10.0,Schooling,,,,,
41.0,17.0,11.0,Schooling,,Schooling,,,
41.0,18.0,12.0,Home,,Schooling,,,
41.0,19.0,12.0,Blue,13533.79,Home,1.0,,
41.0,20.0,12.0,Blue,13912.41,Blue,2.0,,
41.0,21.0,12.0,Blue,15627.59,Blue,3.0,,
41.0,22.0,12.0,Schooling,,Blue,3.0,,
41.0,23.0,13.0,Schooling,,Schooling,3.0,,
41.0,24.0,14.0,Schooling,,Schooling,3.0,,
41.0,25.0,15.0,White,39952.07,Schooling,3.0,,1.0
,,,,,,3.0,,1.0
42.0,16.0,9.0,Schooling,,,,,
42.0,17.0,10.0,Schooling,,Schooling,,,
42.0,18.0,11.0,Schooling,,Schooling,,,
42.0,19.0,12.0,Home,,Schooling,,,
42.0,20.0,12.0,Blue,17887.21,Home,1.0,,
42.0,21.0,12.0,Blue,20578.31,Blue,2.0,,
,,,,,,2.0,,
,,,,,,2.0,,
,,,,,,2.0,,
,,,,,,2.0,,
,,,,,,2.0,,
60.0,16.0,9.0,Schooling,,,,,
60.0,17.0,10.0,Schooling,,Schooling,,,
60.0,18.0,11.0,Schooling,,Schooling,,,
60.0,19.0,12.0,Blue,26216.0,Schooling,1.0,,
60.0,20.0,12.0,Blue,36540.61,Blue,2.0,,
60.0,21.0,12.0,Blue,21382.93,Blue,3.0,,
60.0,22.0,12.0,Blue,20417.9,Blue,4.0,,
60.0,23.0,12.0,Blue,25569.91,Blue,5.0,,
60.0,24.0,12.0,Blue,32489.17,Blue,6.0,,
60.0,25.0,12.0,White,56526.48,Blue,6.0,,1.0
60.0,26.0,12.0,White,54842.44,White,6.0,,2.0
64.0,16.0,10.0,Schooling,,,,,
64.0,17.0,11.0,Schooling,,Schooling,,,
64.0,18.0,12.0,Home,,Schooling,,,
64.0,19.0,12.0,White,15537.74,Home,,,1.0
64.0,20.0,12.0,Home,,White,,,1.0
64.0,21.0,12.0,White,13072.67,Home,,,2.0
64.0,22.0,12.0,White,14022.25,White,,,3.0
64.0,23.0,12.0,Home,,White,,,3.0
64.0,24.0,12.0,Schooling,,Home,,,3.0
,,,,,,,,3.0
,,,,,,,,3.0
66.0,16.0,10.0,Schooling,,,,,
66.0,17.0,11.0,Schooling,,Schooling,,,
66.0,18.0,12.0,Schooling,,Schooling,,,
66.0,19.0,13.0,Home,,Schooling,,,
66.0,20.0,13.0,Schooling,,Home,,,
66.0,21.0,14.0,Blue,,Schooling,1.0,,
66.0,22.0,14.0,Blue,,Blue,2.0,,
66.0,23.0,14.0,Blue,,Blue,3.0,,
,,,,,,3.0,,
,,,,,,3.0,,
,,,,,,3.0,,
69.0,16.0,10.0,Schooling,,,,,
69.0,17.0,11.0,Schooling,,Schooling,,,
69.0,18.0,12.0,Schooling,,Schooling,,,
69.0,19.0,13.0,Schooling,,Schooling,,,
69.0,20.0,14.0,Schooling,,Schooling,,,
69.0,21.0,15.0,Home,,Schooling,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70.0,16.0,10.0,Schooling,,,,,
70.0,17.0,11.0,Schooling,,Schooling,,,
70.0,18.0,12.0,Schooling,,Schooling,,,
70.0,19.0,13.0,Schooling,,Schooling,,,
70.0,20.0,14.0,Schooling,,Schooling,,,
70.0,21.0,15.0,Schooling,,Schooling,,,
70.0,22.0,16.0,Schooling,,Schooling,,,
70.0,23.0,17.0,Schooling,,Schooling,,,
70.0,24.0,18.0,White,14609.14,Schooling,,,1.0
70.0,25.0,18.0,White,19786.73,White,,,2.0
70.0,26.0,18.0,White,35318.49,White,,,3.0
71.0,16.0,10.0,Schooling,,,,,
71.0,17.0,11.0,Schooling,,Schooling,,,
71.0,18.0,12.0,Schooling,,Schooling,,,
71.0,19.0,13.0,Schooling,,Schooling,,,
71.0,20.0,14.0,Schooling,,Schooling,,,
71.0,21.0,15.0,Schooling,,Schooling,,,
71.0,22.0,16.0,Schooling,,Schooling,,,
71.0,23.0,17.0,Schooling,,Schooling,,,
71.0,24.0,18.0,Schooling,,Schooling,,,
,,,,,,,,
,,,,,,,,
73.0,16.0,10.0,Schooling,,,,,
73.0,17.0,11.0,Schooling,,Schooling,,,
73.0,18.0,12.0,Schooling,,Schooling,,,
73.0,19.0,13.0,Schooling,,Schooling,,,
73.0,20.0,14.0,Schooling,,Schooling,,,
73.0,21.0,15.0,Schooling,,Schooling,,,
73.0,22.0,16.0,Home,,Schooling,,,
73.0,23.0,16.0,White,26246.37,Home,,,1.0
,,,,,,,,1.0
,,,,,,,,1.0
,,,,,,,,1.0
76.0,16.0,10.0,Schooling,,,,,
76.0,17.0,11.0,Schooling,,Schooling,,,
76.0,18.0,12.0,Schooling,,Schooling,,,
76.0,19.0,13.0,Schooling,,Schooling,,,
76.0,20.0,14.0,Blue,7376.708,Schooling,1.0,,
76.0,21.0,14.0,Blue,10101.43,Blue,2.0,,
76.0,22.0,14.0,Blue,9452.849,Blue,3.0,,
76.0,23.0,14.0,White,15843.35,Blue,3.0,,1.0
,,,,,,3.0,,1.0
,,,,,,3.0,,1.0
,,,,,,3.0,,1.0
80.0,16.0,9.0,Schooling,,,,,
80.0,17.0,10.0,Schooling,,Schooling,,,
80.0,18.0,11.0,Schooling,,Schooling,,,
80.0,19.0,12.0,Blue,,Schooling,1.0,,
80.0,20.0,12.0,Schooling,,Blue,1.0,,
80.0,21.0,13.0,Schooling,,Schooling,1.0,,
80.0,22.0,14.0,Schooling,,Schooling,1.0,,
80.0,23.0,15.0,Schooling,,Schooling,1.0,,
80.0,24.0,16.0,Schooling,,Schooling,1.0,,
,,,,,,1.0,,
,,,,,,1.0,,
81.0,16.0,9.0,Schooling,,,,,
81.0,17.0,10.0,Schooling,,Schooling,,,
81.0,18.0,11.0,Schooling,,Schooling,,,
81.0,19.0,12.0,Schooling,,Schooling,,,
81.0,20.0,13.0,Schooling,,Schooling,,,
81.0,21.0,14.0,Home,,Schooling,,,
81.0,22.0,14.0,Home,,Home,,,
81.0,23.0,14.0,Schooling,,Home,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
93.0,16.0,9.0,Schooling,,,,,
93.0,17.0,10.0,Schooling,,Schooling,,,
93.0,18.0,11.0,Schooling,,Schooling,,,
93.0,19.0,12.0,Military,10421.98,Schooling,,1.0,
93.0,20.0,12.0,Military,9090.352,Military,,2.0,
93.0,21.0,12.0,Military,12707.1,Military,,3.0,
93.0,22.0,12.0,Military,14576.88,Military,,4.0,
93.0,23.0,12.0,Blue,10378.89,Military,1.0,4.0,
,,,,,,1.0,4.0,
,,,,,,1.0,4.0,
,,,,,,1.0,4.0,
106.0,16.0,10.0,Schooling,,,,,
106.0,17.0,11.0,Schooling,,Schooling,,,
106.0,18.0,12.0,Schooling,,Schooling,,,
106.0,19.0,13.0,Schooling,,Schooling,,,
106.0,20.0,14.0,Schooling,,Schooling,,,
106.0,21.0,15.0,Home,,Schooling,,,
106.0,22.0,15.0,Schooling,,Home,,,
106.0,23.0,16.0,White,23124.95,Schooling,,,1.0
106.0,24.0,16.0,White,23450.98,White,,,2.0
106.0,25.0,16.0,White,25356.26,White,,,3.0
106.0,26.0,16.0,White,28123.2,White,,,4.0
107.0,16.0,10.0,Schooling,,,,,
107.0,17.0,11.0,Schooling,,Schooling,,,
107.0,18.0,12.0,White,7345.847,Schooling,,,1.0
107.0,19.0,12.0,Schooling,,White,,,1.0
107.0,20.0,13.0,Schooling,,Schooling,,,1.0
107.0,21.0,14.0,White,6224.424,Schooling,,,2.0
107.0,22.0,14.0,Schooling,,White,,,2.0
107.0,23.0,15.0,Schooling,,Schooling,,,2.0
107.0,24.0,16.0,White,16354.6,Schooling,,,3.0
107.0,25.0,16.0,White,17998.06,White,,,4.0
,,,,,,,,4.0
113.0,16.0,9.0,Home,,,,,
113.0,17.0,9.0,Home,,Home,,,
113.0,18.0,9.0,Military,8351.606,Home,,1.0,
113.0,19.0,9.0,Military,8190.72,Military,,2.0,
113.0,20.0,9.0,Military,9096.526,Military,,3.0,
113.0,21.0,9.0,Military,10736.5,Military,,4.0,
113.0,22.0,9.0,Home,,Military,,4.0,
,,,,,,,4.0,
,,,,,,,4.0,
,,,,,,,4.0,
,,,,,,,4.0,
120.0,16.0,10.0,Schooling,,,,,
120.0,17.0,11.0,Schooling,,Schooling,,,
120.0,18.0,12.0,Schooling,,Schooling,,,
120.0,19.0,13.0,Schooling,,Schooling,,,
120.0,20.0,14.0,Schooling,,Schooling,,,
120.0,21.0,15.0,Schooling,,Schooling,,,
120.0,22.0,16.0,Blue,23169.63,Schooling,1.0,,
120.0,23.0,16.0,White,34858.91,Blue,1.0,,1.0
120.0,24.0,16.0,White,66216.48,White,1.0,,2.0
120.0,25.0,16.0,White,59996.09,White,1.0,,3.0
,,,,,,1.0,,3.0
122.0,16.0,10.0,Schooling,,,,,
122.0,17.0,11.0,Schooling,,Schooling,,,
122.0,18.0,12.0,Blue,16589.25,Schooling,1.0,,
122.0,19.0,12.0,Blue,,Blue,2.0,,
122.0,20.0,12.0,Home,,Blue,2.0,,
122.0,21.0,12.0,Blue,19781.48,Home,3.0,,
122.0,22.0,12.0,Blue,17583.71,Blue,4.0,,
122.0,23.0,12.0,Blue,31800.72,Blue,5.0,,
122.0,24.0,12.0,Blue,26113.45,Blue,6.0,,
122.0,25.0,12.0,Blue,28115.85,Blue,7.0,,
,,,,,,7.0,,
123.0,16.0,10.0,Schooling,,,,,
123.0,17.0,11.0,Schooling,,Schooling,,,
123.0,18.0,12.0,Schooling,,Schooling,,,
123.0,19.0,13.0,Schooling,,Schooling,,,
123.0,20.0,14.0,White,19341.38,Schooling,,,1.0
123.0,21.0,14.0,White,19169.76,White,,,2.0
123.0,22.0,14.0,Blue,,White,1.0,,2.0
123.0,23.0,14.0,White,,Blue,1.0,,3.0
123.0,24.0,14.0,White,17524.92,White,1.0,,4.0
123.0,25.0,14.0,White,19675.03,White,1.0,,5.0
,,,,,,1.0,,5.0
134.0,16.0,10.0,Schooling,,,,,
134.0,17.0,11.0,Blue,,Schooling,1.0,,
134.0,18.0,11.0,Blue,14865.63,Blue,2.0,,
134.0,19.0,11.0,Blue,19318.05,Blue,3.0,,
134.0,20.0,11.0,Blue,18513.99,Blue,4.0,,
134.0,21.0,11.0,Blue,17654.79,Blue,5.0,,
134.0,22.0,11.0,Blue,19876.9,Blue,6.0,,
134.0,23.0,11.0,Blue,23448.25,Blue,7.0,,
134.0,24.0,11.0,Blue,25069.79,Blue,8.0,,
134.0,25.0,11.0,White,25266.61,Blue,8.0,,1.0
134.0,26.0,11.0,White,24374.42,White,8.0,,2.0
135.0,16.0,10.0,Schooling,,,,,
135.0,17.0,11.0,Schooling,,Schooling,,,
135.0,18.0,12.0,Home,,Schooling,,,
135.0,19.0,12.0,Schooling,,Home,,,
135.0,20.0,13.0,White,11823.02,Schooling,,,1.0
135.0,21.0,13.0,White,20534.24,White,,,2.0
135.0,22.0,13.0,Blue,20771.94,White,1.0,,2.0
135.0,23.0,13.0,Blue,23399.42,Blue,2.0,,2.0
,,,,,,2.0,,2.0
,,,,,,2.0,,2.0
,,,,,,2.0,,2.0
139.0,16.0,11.0,Schooling,,,,,
139.0,17.0,12.0,Home,,Schooling,,,
139.0,18.0,12.0,Military,8544.328,Home,,1.0,
139.0,19.0,12.0,Schooling,,Military,,1.0,
139.0,20.0,13.0,Schooling,,Schooling,,1.0,
139.0,21.0,14.0,Schooling,,Schooling,,1.0,
139.0,22.0,15.0,White,24481.67,Schooling,,1.0,1.0
139.0,23.0,15.0,Blue,17549.57,White,1.0,1.0,1.0
,,,,,,1.0,1.0,1.0
,,,,,,1.0,1.0,1.0
,,,,,,1.0,1.0,1.0
145.0,16.0,10.0,Schooling,,,,,
145.0,17.0,11.0,Home,,Schooling,,,
145.0,18.0,11.0,Home,,Home,,,
145.0,19.0,11.0,Home,,Home,,,
145.0,20.0,11.0,Home,,Home,,,
145.0,21.0,11.0,Blue,7902.619,Home,1.0,,
145.0,22.0,11.0,Blue,8285.862,Blue,2.0,,
145.0,23.0,11.0,Home,,Blue,2.0,,
145.0,24.0,11.0,Blue,15144.79,Home,3.0,,
145.0,25.0,11.0,Blue,11692.41,Blue,4.0,,
,,,,,,4.0,,
146.0,16.0,10.0,Schooling,,,,,
146.0,17.0,11.0,Schooling,,Schooling,,,
146.0,18.0,12.0,Blue,,Schooling,1.0,,
146.0,19.0,12.0,Military,8634.038,Blue,1.0,1.0,
146.0,20.0,12.0,Military,11414.06,Military,1.0,2.0,
146.0,21.0,12.0,Military,,Military,1.0,3.0,
146.0,22.0,12.0,Military,,Military,1.0,4.0,
146.0,23.0,12.0,Military,17515.6,Military,1.0,5.0,
,,,,,,1.0,5.0,
,,,,,,1.0,5.0,
,,,,,,1.0,5.0,
148.0,16.0,10.0,Schooling,,,,,
148.0,17.0,11.0,Schooling,,Schooling,,,
148.0,18.0,12.0,Blue,10804.62,Schooling,1.0,,
148.0,19.0,12.0,White,10699.23,Blue,1.0,,1.0
148.0,20.0,12.0,Blue,11751.43,White,2.0,,1.0
148.0,21.0,12.0,Blue,17951.43,Blue,3.0,,1.0
148.0,22.0,12.0,Blue,,Blue,4.0,,1.0
148.0,23.0,12.0,Blue,,Blue,5.0,,1.0
148.0,24.0,12.0,Blue,20185.38,Blue,6.0,,1.0
,,,,,,6.0,,1.0
,,,,,,6.0,,1.0
155.0,16.0,9.0,Home,,,,,
155.0,17.0,9.0,Blue,31243.15,Home,1.0,,
155.0,18.0,9.0,Blue,13060.8,Blue,2.0,,
155.0,19.0,9.0,Home,,Blue,2.0,,
155.0,20.0,9.0,White,15654.17,Home,2.0,,1.0
155.0,21.0,9.0,Blue,22286.91,White,3.0,,1.0
155.0,22.0,9.0,Blue,11648.33,Blue,4.0,,1.0
155.0,23.0,9.0,Blue,24255.92,Blue,5.0,,1.0
155.0,24.0,9.0,Blue,27333.32,Blue,6.0,,1.0
,,,,,,6.0,,1.0
,,,,,,6.0,,1.0
162.0,16.0,10.0,Schooling,,,,,
162.0,17.0,11.0,Schooling,,Schooling,,,
162.0,18.0,12.0,Schooling,,Schooling,,,
162.0,19.0,13.0,Schooling,,Schooling,,,
162.0,20.0,14.0,Schooling,,Schooling,,,
162.0,21.0,15.0,Home,,Schooling,,,
162.0,22.0,15.0,White,10642.93,Home,,,1.0
162.0,23.0,15.0,White,20245.33,White,,,2.0
162.0,24.0,15.0,White,27856.38,White,,,3.0
162.0,25.0,15.0,White,43718.79,White,,,4.0
162.0,26.0,15.0,White,37201.3,White,,,5.0
163.0,16.0,10.0,Schooling,,,,,
163.0,17.0,11.0,Schooling,,Schooling,,,
163.0,18.0,12.0,Schooling,,Schooling,,,
163.0,19.0,13.0,Schooling,,Schooling,,,
163.0,20.0,14.0,Schooling,,Schooling,,,
163.0,21.0,15.0,Schooling,,Schooling,,,
163.0,22.0,16.0,White,19472.42,Schooling,,,1.0
163.0,23.0,16.0,White,12402.4,White,,,2.0
163.0,24.0,16.0,White,13356.41,White,,,3.0
163.0,25.0,16.0,White,30926.26,White,,,4.0
,,,,,,,,4.0
166.0,16.0,10.0,Schooling,,,,,
166.0,17.0,11.0,Schooling,,Schooling,,,
166.0,18.0,12.0,Blue,,Schooling,1.0,,
166.0,19.0,12.0,Blue,11746.01,Blue,2.0,,
166.0,20.0,12.0,White,8269.451,Blue,2.0,,1.0
166.0,21.0,12.0,White,8043.328,White,2.0,,2.0
166.0,22.0,12.0,Blue,20301.05,White,3.0,,2.0
166.0,23.0,12.0,White,18501.81,Blue,3.0,,3.0
166.0,24.0,12.0,Blue,19159.12,White,4.0,,3.0
166.0,25.0,12.0,Schooling,,Blue,4.0,,3.0
,,,,,,4.0,,3.0
171.0,16.0,10.0,Schooling,,,,,
171.0,17.0,11.0,Schooling,,Schooling,,,
171.0,18.0,12.0,Schooling,,Schooling,,,
171.0,19.0,13.0,Blue,11367.13,Schooling,1.0,,
171.0,20.0,13.0,Schooling,,Blue,1.0,,
171.0,21.0,14.0,Blue,14284.77,Schooling,2.0,,
171.0,22.0,14.0,Schooling,,Blue,2.0,,
171.0,23.0,15.0,Home,,Schooling,2.0,,
171.0,24.0,15.0,Blue,16859.82,Home,3.0,,
171.0,25.0,15.0,Schooling,,Blue,3.0,,
,,,,,,3.0,,
173.0,16.0,9.0,Home,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
185.0,16.0,10.0,Schooling,,,,,
185.0,17.0,11.0,Schooling,,Schooling,,,
185.0,18.0,12.0,Blue,,Schooling,1.0,,
185.0,19.0,12.0,Home,,Blue,1.0,,
185.0,20.0,12.0,Blue,10890.23,Home,2.0,,
185.0,21.0,12.0,Blue,,Blue,3.0,,
185.0,22.0,12.0,Blue,17835.9,Blue,4.0,,
185.0,23.0,12.0,Blue,19265.54,Blue,5.0,,
,,,,,,5.0,,
,,,,,,5.0,,
,,,,,,5.0,,
187.0,16.0,9.0,Schooling,,,,,
187.0,17.0,10.0,Schooling,,Schooling,,,
187.0,18.0,11.0,Schooling,,Schooling,,,
187.0,19.0,12.0,Schooling,,Schooling,,,
187.0,20.0,13.0,Schooling,,Schooling,,,
187.0,21.0,14.0,Schooling,,Schooling,,,
187.0,22.0,15.0,Blue,6642.232,Schooling,1.0,,
187.0,23.0,15.0,White,46652.61,Blue,1.0,,1.0
,,,,,,1.0,,1.0
,,,,,,1.0,,1.0
,,,,,,1.0,,1.0
191.0,16.0,10.0,Schooling,,,,,
191.0,17.0,11.0,Schooling,,Schooling,,,
191.0,18.0,12.0,Schooling,,Schooling,,,
191.0,19.0,13.0,Schooling,,Schooling,,,
191.0,20.0,14.0,Schooling,,Schooling,,,
191.0,21.0,15.0,Home,,Schooling,,,
191.0,22.0,15.0,Schooling,,Home,,,
191.0,23.0,16.0,White,30633.13,Schooling,,,1.0
191.0,24.0,16.0,Schooling,,White,,,1.0
,,,,,,,,1.0
,,,,,,,,1.0
194.0,16.0,10.0,Schooling,,,,,
194.0,17.0,11.0,Schooling,,Schooling,,,
194.0,18.0,12.0,Schooling,,Schooling,,,
194.0,19.0,13.0,Home,,Schooling,,,
194.0,20.0,13.0,Home,,Home,,,
194.0,21.0,13.0,Schooling,,Home,,,
194.0,22.0,14.0,Schooling,,Schooling,,,
194.0,23.0,15.0,Schooling,,Schooling,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
196.0,16.0,10.0,Schooling,,,,,
196.0,17.0,11.0,Schooling,,Schooling,,,
196.0,18.0,12.0,Schooling,,Schooling,,,
196.0,19.0,13.0,Schooling,,Schooling,,,
196.0,20.0,14.0,Schooling,,Schooling,,,
196.0,21.0,15.0,Schooling,,Schooling,,,
196.0,22.0,16.0,Schooling,,Schooling,,,
196.0,23.0,17.0,White,31862.23,Schooling,,,1.0
,,,,,,,,1.0
,,,,,,,,1.0
,,,,,,,,1.0
198.0,16.0,10.0,Schooling,,,,,
198.0,17.0,11.0,Schooling,,Schooling,,,
198.0,18.0,12.0,Schooling,,Schooling,,,
198.0,19.0,13.0,Blue,12759.49,Schooling,1.0,,
198.0,20.0,13.0,Schooling,,Blue,1.0,,
198.0,21.0,14.0,Schooling,,Schooling,1.0,,
198.0,22.0,15.0,Schooling,,Schooling,1.0,,
198.0,23.0,16.0,Schooling,,Schooling,1.0,,
198.0,24.0,17.0,Schooling,,Schooling,1.0,,
,,,,,,1.0,,
,,,,,,1.0,,
202.0,16.0,11.0,Schooling,,,,,
202.0,17.0,12.0,Blue,,Schooling,1.0,,
202.0,18.0,12.0,Blue,16133.81,Blue,2.0,,
202.0,19.0,12.0,Blue,,Blue,3.0,,
202.0,20.0,12.0,White,,Blue,3.0,,1.0
202.0,21.0,12.0,White,16253.44,White,3.0,,2.0
202.0,22.0,12.0,White,,White,3.0,,3.0
,,,,,,3.0,,3.0
,,,,,,3.0,,3.0
,,,,,,3.0,,3.0
,,,,,,3.0,,3.0
206.0,16.0,9.0,Home,,,,,
206.0,17.0,9.0,Blue,7533.062,Home,1.0,,
206.0,18.0,9.0,White,14408.38,Blue,1.0,,1.0
206.0,19.0,9.0,White,13928.58,White,1.0,,2.0
206.0,20.0,9.0,White,18000.05,White,1.0,,3.0
206.0,21.0,9.0,White,21269.32,White,1.0,,4.0
206.0,22.0,9.0,Blue,24118.17,White,2.0,,4.0
,,,,,,2.0,,4.0
,,,,,,2.0,,4.0
,,,,,,2.0,,4.0
,,,,,,2.0,,4.0
207.0,16.0,8.0,Schooling,,,,,
207.0,17.0,9.0,Blue,8054.396,Schooling,1.0,,
207.0,18.0,9.0,Blue,7718.126,Blue,2.0,,
207.0,19.0,9.0,Blue,7644.492,Blue,3.0,,
207.0,20.0,9.0,White,7583.743,Blue,3.0,,1.0
207.0,21.0,9.0,Blue,7556.115,White,4.0,,1.0
207.0,22.0,9.0,Blue,14994.63,Blue,5.0,,1.0
207.0,23.0,9.0,Blue,13763.65,Blue,6.0,,1.0
207.0,24.0,9.0,Blue,15159.96,Blue,7.0,,1.0
207.0,25.0,9.0,Blue,17549.57,Blue,8.0,,1.0
,,,,,,8.0,,1.0
210.0,16.0,11.0,Schooling,,,,,
210.0,17.0,12.0,Schooling,,Schooling,,,
210.0,18.0,13.0,Schooling,,Schooling,,,
210.0,19.0,14.0,Schooling,,Schooling,,,
210.0,20.0,15.0,Schooling,,Schooling,,,
210.0,21.0,16.0,White,8843.224,Schooling,,,1.0
210.0,22.0,16.0,Blue,16048.71,White,1.0,,1.0
210.0,23.0,16.0,Blue,16029.53,Blue,2.0,,1.0
210.0,24.0,16.0,White,19611.9,Blue,2.0,,2.0
,,,,,,2.0,,2.0
,,,,,,2.0,,2.0
212.0,16.0,10.0,Schooling,,,,,
212.0,17.0,11.0,Schooling,,Schooling,,,
212.0,18.0,12.0,Blue,16531.8,Schooling,1.0,,
212.0,19.0,12.0,Blue,25539.35,Blue,2.0,,
212.0,20.0,12.0,Blue,31506.7,Blue,3.0,,
212.0,21.0,12.0,Blue,23494.14,Blue,4.0,,
212.0,22.0,12.0,Blue,41200.0,Blue,5.0,,
212.0,23.0,12.0,Blue,39531.38,Blue,6.0,,
212.0,24.0,12.0,Blue,36465.48,Blue,7.0,,
212.0,25.0,12.0,Blue,37012.61,Blue,8.0,,
212.0,26.0,12.0,White,41413.04,Blue,8.0,,1.0
213.0,16.0,10.0,Schooling,,,,,
213.0,17.0,11.0,Schooling,,Schooling,,,
213.0,18.0,12.0,Schooling,,Schooling,,,
213.0,19.0,13.0,Schooling,,Schooling,,,
213.0,20.0,14.0,Schooling,,Schooling,,,
213.0,21.0,15.0,Schooling,,Schooling,,,
213.0,22.0,16.0,White,31641.0,Schooling,,,1.0
213.0,23.0,16.0,White,24995.64,White,,,2.0
213.0,24.0,16.0,White,29637.63,White,,,3.0
,,,,,,,,3.0
,,,,,,,,3.0
214.0,16.0,10.0,Schooling,,,,,
214.0,17.0,11.0,Schooling,,Schooling,,,
214.0,18.0,12.0,Blue,11940.91,Schooling,1.0,,
214.0,19.0,12.0,Schooling,,Blue,1.0,,
214.0,20.0,13.0,Blue,26207.75,Schooling,2.0,,
214.0,21.0,13.0,Blue,28901.92,Blue,3.0,,
214.0,22.0,13.0,Blue,28710.77,Blue,4.0,,
214.0,23.0,13.0,Blue,26236.61,Blue,5.0,,
,,,,,,5.0,,
,,,,,,5.0,,
,,,,,,5.0,,
217.0,16.0,10.0,Home,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
230.0,16.0,9.0,Schooling,,,,,
230.0,17.0,10.0,Schooling,,Schooling,,,
