Identifier,Age,Schooling,Choice,Wage,Choice_t_1,Experience_Blue,Experience_Military,Experience_White
6.0,16.0,11.0,Schooling,,,,,
6.0,17.0,12.0,Schooling,,Schooling,,,
6.0,18.0,13.0,Schooling,,Schooling,,,
6.0,19.0,14.0,Schooling,,Schooling,,,
6.0,20.0,15.0,Schooling,,Schooling,,,
6.0,21.0,16.0,Home,,Schooling,,,
6.0,22.0,16.0,White,14062.67,Home,,,1.0
6.0,23.0,16.0,White,15921.17,White,,,2.0
6.0,24.0,16.0,White,18602.73,White,,,3.0
6.0,25.0,16.0,White,19693.95,White,,,4.0
6.0,26.0,16.0,White,20611.0,White,,,5.0
7.0,16.0,10.0,Schooling,,,,,
7.0,17.0,11.0,Schooling,,Schooling,,,
7.0,18.0,12.0,Blue,18795.29,Schooling,1.0,,
7.0,19.0,12.0,Military,9647.861,Blue,1.0,1.0,
7.0,20.0,12.0,Military,9281.372,Military,1.0,2.0,
7.0,21.0,12.0,Military,10994.15,Military,1.0,3.0,
7.0,22.0,12.0,Military,12302.53,Military,1.0,4.0,
7.0,23.0,12.0,Military,12804.15,Military,1.0,5.0,
,,,,,,1.0,5.0,
,,,,,,1.0,5.0,
,,,,,,1.0,5.0,
9.0,16.0,10.0,Schooling,,,,,
9.0,17.0,11.0,Schooling,,Schooling,,,
9.0,18.0,12.0,Blue,9852.325,Schooling,1.0,,
9.0,19.0,12.0,Blue,7955.596,Blue,2.0,,
9.0,20.0,12.0,Blue,7966.24,Blue,3.0,,
9.0,21.0,12.0,Blue,8119.774,Blue,4.0,,
9.0,22.0,12.0,Schooling,,Blue,4.0,,
9.0,23.0,13.0,White,15159.96,Schooling,4.0,,1.0
9.0,24.0,13.0,White,16867.09,White,4.0,,2.0
,,,,,,4.0,,2.0
,,,,,,4.0,,2.0
15.0,16.0,10.0,Schooling,,,,,
15.0,17.0,11.0,Schooling,,Schooling,,,
15.0,18.0,12.0,Schooling,,Schooling,,,
15.0,19.0,13.0,Schooling,,Schooling,,,
15.0,20.0,14.0,Schooling,,Schooling,,,
15.0,21.0,15.0,Schooling,,Schooling,,,
15.0,22.0,16.0,White,14091.96,Schooling,,,1.0
15.0,23.0,16.0,White,16857.34,White,,,2.0
,,,,,,,,2.0
,,,,,,,,2.0
,,,,,,,,2.0
24.0,16.0,10.0,Schooling,,,,,
24.0,17.0,11.0,Home,,Schooling,,,
24.0,18.0,11.0,Home,,Home,,,
24.0,19.0,11.0,Home,,Home,,,
24.0,20.0,11.0,Blue,14947.72,Home,1.0,,
24.0,21.0,11.0,Home,,Blue,1.0,,
,,,,,,1.0,,
,,,,,,1.0,,
,,,,,,1.0,,
,,,,,,1.0,,
,,,,,,1.0,,
26.0,16.0,10.0,Schooling,,,,,
26.0,17.0,11.0,Schooling,,Schooling,,,
26.0,18.0,12.0,Schooling,,Schooling,,,
26.0,19.0,13.0,Schooling,,Schooling,,,
26.0,20.0,14.0,White,7268.953,Schooling,,,1.0
